5,8,1,1,1,0
2,-7,1,1,2,0
2,0,1,1,2,0
-8,-7,1,1,2,0
3,-3,1,1,2,0
3,-4,1,1,2,0
6,-3,1,1,2,0
1,3,1,1,2,0
5,8,2,1,2,0
-9,0,1,1,2,0
1,7,1,1,2,0
2,-7,2,1,3,0
2,0,2,1,3,0
-8,-7,2,1,3,0
3,-3,2,1,3,0
3,-4,2,1,3,0
6,-3,2,1,3,0
1,3,2,1,3,0
5,8,3,1,3,0
-9,0,2,1,3,0
1,7,2,1,3,0
2,-7,2,1,4,0
2,0,3,1,4,0
-8,-7,3,1,4,0
3,-3,3,1,4,0
3,-4,3,1,4,0
6,-3,3,1,4,0
1,3,3,1,4,0
5,8,4,1,4,0
-9,0,3,1,4,0
3,-7,3,1,4,0
1,7,3,1,4,0
2,-7,2,1,5,0
-8,-6,4,1,5,0
2,0,4,1,5,0
-8,-7,3,1,5,0
3,-3,4,1,5,0
3,-4,4,1,5,0
6,-3,4,1,5,0
1,3,4,1,5,0
6,8,5,1,5,0
5,8,4,1,5,0
-9,0,4,1,5,0
3,-7,4,1,5,0
1,7,4,1,5,0
2,-7,2,1,6,0
2,0,4,1,6,0
-8,-6,5,1,6,0
-8,-7,3,1,6,0
3,-3,5,1,6,0
2,3,5,1,6,0
1,3,4,1,6,0
6,8,6,1,6,0
3,-4,5,1,6,0
6,-3,5,1,6,0
2,-1,5,1,6,0
5,8,4,1,6,0
-9,0,4,1,6,0
-8,0,5,1,6,0
3,-7,5,1,6,0
1,7,5,1,6,0
2,-7,2,1,7,0
2,0,4,1,7,0
-8,-6,5,1,7,0
-8,-7,3,1,7,0
2,3,5,1,7,0
3,-3,6,1,7,0
1,3,4,1,7,0
6,8,7,1,7,0
3,-4,6,1,7,0
6,-3,6,1,7,0
2,4,6,1,7,0
2,-1,6,1,7,0
5,8,4,1,7,0
-9,0,4,1,7,0
3,-7,5,1,7,0
-8,0,6,1,7,0
2,7,6,1,7,0
1,7,5,1,7,0
2,-7,2,1,8,0
2,0,4,1,8,0
-8,-6,7,1,8,0
-8,-7,3,1,8,0
3,-1,7,1,8,0
2,3,5,1,8,0
3,-3,7,1,8,0
1,3,4,1,8,0
6,8,8,1,8,0
2,-1,6,1,8,0
3,-4,7,1,8,0
6,-3,7,1,8,0
2,4,7,1,8,0
5,8,4,1,8,0
-9,0,4,1,8,0
-8,0,7,1,8,0
3,-7,7,1,8,0
2,7,7,1,8,0
1,7,5,1,8,0
2,0,4,1,9,0
-8,-6,8,1,9,0
2,-7,8,1,9,0
-8,-7,3,1,9,0
3,-1,8,1,9,0
2,3,5,1,9,0
3,-3,8,1,9,0
1,3,4,1,9,0
6,8,9,1,9,0
2,-1,6,1,9,0
3,-4,8,1,9,0
6,-3,8,1,9,0
2,4,8,1,9,0
5,8,4,1,9,0
-9,0,4,1,9,0
3,-7,7,1,9,0
-8,0,8,1,9,0
2,7,8,1,9,0
1,7,5,1,9,0
2,0,4,1,10,0
-8,-6,8,1,10,0
2,-7,9,1,10,0
-8,-7,3,1,10,0
3,-1,8,1,10,0
2,3,5,1,10,0
-7,-6,9,1,10,0
3,-3,9,1,10,0
1,3,4,1,10,0
6,8,9,1,10,0
2,-1,6,1,10,0
3,-4,9,1,10,0
6,-3,9,1,10,0
2,4,9,1,10,0
5,8,4,1,10,0
-9,0,4,1,10,0
3,-7,7,1,10,0
-8,0,9,1,10,0
2,7,9,1,10,0
1,7,5,1,10,0
3,0,9,1,10,0
2,0,4,1,11,0
-8,-6,8,1,11,0
2,-7,9,1,11,0
-8,-7,3,1,11,0
3,-1,8,1,11,0
2,3,5,1,11,0
-7,-6,9,1,11,0
3,-3,9,1,11,0
6,7,11,1,11,0
1,3,4,1,11,0
6,8,9,1,11,0
2,-1,6,1,11,0
3,-4,9,1,11,0
6,-3,9,1,11,0
2,4,9,1,11,0
5,8,4,1,11,0
-9,0,4,1,11,0
3,-7,7,1,11,0
-8,0,9,1,11,0
2,7,9,1,11,0
1,7,5,1,11,0
3,0,9,1,11,0
2,0,4,1,12,0
-8,-6,8,1,12,0
2,-7,11,1,12,0
-8,-7,3,1,12,0
3,-1,8,1,12,0
4,-5,11,1,12,0
6,7,12,1,12,0
-7,-6,11,1,12,0
3,-3,11,1,12,0
2,3,11,1,12,0
1,3,4,1,12,0
6,8,9,1,12,0
2,-1,6,1,12,0
3,-4,9,1,12,0
6,-3,9,1,12,0
2,4,9,1,12,0
5,8,4,1,12,0
6,-4,11,1,12,0
-9,0,4,1,12,0
2,6,11,1,12,0
3,-7,7,1,12,0
2,7,9,1,12,0
-8,0,11,1,12,0
1,7,5,1,12,0
3,0,11,1,12,0
2,0,4,1,13,0
-8,-6,8,1,13,0
2,-7,12,1,13,0
-8,-7,3,1,13,0
3,-1,8,1,13,0
4,-5,12,1,13,0
6,7,13,1,13,0
-7,-6,11,1,13,0
3,-3,12,1,13,0
